                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5081,                0.84756,                 1.0334,                0.94658,                0.38462,                0.41717,                0.25079,                 1.4676,                0.84225,                 1.0197,             0.00055292,             0.00055292,             0.00055292
                      2,                 1.4103,                0.60538,                0.97676,                 0.9422,                 0.3736,                0.41386,                 0.2447,                 1.5079,                 1.0419,                  1.018,              0.0010976,              0.0010976,              0.0010976
                      3,                 1.3941,                0.59089,                0.97341,                0.44913,                0.38093,                0.41745,                0.25494,                 1.4791,                0.78527,                  1.028,              0.0016313,              0.0016313,              0.0016313
                      4,                 1.3892,                0.58425,                0.96901,                0.45424,                0.38947,                 0.4225,                0.25836,                 1.4384,                0.74971,                  1.002,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.3731,                0.57583,                0.95996,                0.95001,                0.39246,                0.47273,                0.29172,                 1.4179,                0.73045,                 1.0017,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3551,                0.56823,                0.95702,                0.95294,                0.39516,                0.43314,                0.25975,                 1.4342,                0.67384,                 1.0158,               0.001601,               0.001601,               0.001601
                      7,                 1.3358,                0.55186,                0.95142,                0.95373,                0.39489,                0.43032,                 0.2682,                 1.4175,                0.65874,                 1.0048,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3395,                0.55152,                0.95211,                0.95586,                0.39731,                0.43852,                0.27171,                 1.4015,                0.65804,                   1.01,               0.001568,               0.001568,               0.001568
                      9,                 1.3309,                  0.551,                0.94818,                 0.9515,                0.39156,                0.44932,                0.27693,                 1.4302,                0.63021,                 1.0114,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3142,                0.54345,                0.94784,                0.95804,                0.39711,                0.43864,                0.27068,                 1.4547,                0.70772,                 1.0184,               0.001535,               0.001535,               0.001535
                     11,                 1.3166,                0.54346,                0.94726,                0.95508,                0.39552,                0.43327,                0.26858,                 1.4103,                0.65991,                 1.0225,              0.0015185,              0.0015185,              0.0015185
